sample_id,word,signer_id,video_path,landmarks_hands_only_file,num_frames,landmarks_extracted
HOLA_signer_dilse_native_var01,HOLA,signer_dilse_native,data\raw_videos\signer_dilse_native\HOLA\HOLA_var01.mov,data\landmarks_hands_only\HOLA\HOLA_signer_dilse_native_var01.npy,43,True
AYUDA_signer_dilse_native_var01,AYUDA,signer_dilse_native,data\raw_videos\signer_dilse_native\AYUDA\AYUDA_var01.mov,data\landmarks_hands_only\AYUDA\AYUDA_signer_dilse_native_var01.npy,59,True
COMER_signer_dilse_native_var01,COMER,signer_dilse_native,data\raw_videos\signer_dilse_native\COMER\COMER_var01.mov,data\landmarks_hands_only\COMER\COMER_signer_dilse_native_var01.npy,62,True
COMER_signer_dilse_native_var02,COMER,signer_dilse_native,data\raw_videos\signer_dilse_native\COMER\COMER_var02.mov,data\landmarks_hands_only\COMER\COMER_signer_dilse_native_var02.npy,62,True
CASA_signer_dilse_native_var01,CASA,signer_dilse_native,data\raw_videos\signer_dilse_native\CASA\CASA_var01.mov,data\landmarks_hands_only\CASA\CASA_signer_dilse_native_var01.npy,59,True
CASA_signer_dilse_native_var02,CASA,signer_dilse_native,data\raw_videos\signer_dilse_native\CASA\CASA_var02.mov,data\landmarks_hands_only\CASA\CASA_signer_dilse_native_var02.npy,46,True
AGUA_signer_dilse_native_var01,AGUA,signer_dilse_native,data\raw_videos\signer_dilse_native\AGUA\AGUA_var01.mov,data\landmarks_hands_only\AGUA\AGUA_signer_dilse_native_var01.npy,60,True
AGUA_signer_dilse_native_var02,AGUA,signer_dilse_native,data\raw_videos\signer_dilse_native\AGUA\AGUA_var02.mov,data\landmarks_hands_only\AGUA\AGUA_signer_dilse_native_var02.npy,74,True
TRABAJAR_signer_dilse_native_var01,TRABAJAR,signer_dilse_native,data\raw_videos\signer_dilse_native\TRABAJAR\TRABAJAR_var01.mov,data\landmarks_hands_only\TRABAJAR\TRABAJAR_signer_dilse_native_var01.npy,60,True
TRABAJAR_signer_dilse_native_var02,TRABAJAR,signer_dilse_native,data\raw_videos\signer_dilse_native\TRABAJAR\TRABAJAR_var02.mov,data\landmarks_hands_only\TRABAJAR\TRABAJAR_signer_dilse_native_var02.npy,58,True
AMIGO_signer_dilse_native_var01,AMIGO,signer_dilse_native,data\raw_videos\signer_dilse_native\AMIGO\AMIGO_var01.mov,data\landmarks_hands_only\AMIGO\AMIGO_signer_dilse_native_var01.npy,74,True
AMIGO_signer_dilse_native_var02,AMIGO,signer_dilse_native,data\raw_videos\signer_dilse_native\AMIGO\AMIGO_var02.mov,data\landmarks_hands_only\AMIGO\AMIGO_signer_dilse_native_var02.npy,66,True
MADRE_signer_dilse_native_var01,MADRE,signer_dilse_native,data\raw_videos\signer_dilse_native\MADRE\MADRE_var01.mov,data\landmarks_hands_only\MADRE\MADRE_signer_dilse_native_var01.npy,57,True
PADRE_signer_dilse_native_var01,PADRE,signer_dilse_native,data\raw_videos\signer_dilse_native\PADRE\PADRE_var01.mov,data\landmarks_hands_only\PADRE\PADRE_signer_dilse_native_var01.npy,46,True
PADRE_signer_dilse_native_var02,PADRE,signer_dilse_native,data\raw_videos\signer_dilse_native\PADRE\PADRE_var02.mov,data\landmarks_hands_only\PADRE\PADRE_signer_dilse_native_var02.npy,47,True
FAMILIA_signer_dilse_native_var01,FAMILIA,signer_dilse_native,data\raw_videos\signer_dilse_native\FAMILIA\FAMILIA_var01.mov,data\landmarks_hands_only\FAMILIA\FAMILIA_signer_dilse_native_var01.npy,62,True
FAMILIA_signer_dilse_native_var02,FAMILIA,signer_dilse_native,data\raw_videos\signer_dilse_native\FAMILIA\FAMILIA_var02.mov,data\landmarks_hands_only\FAMILIA\FAMILIA_signer_dilse_native_var02.npy,70,True
ESCUELA_signer_dilse_native_var01,ESCUELA,signer_dilse_native,data\raw_videos\signer_dilse_native\ESCUELA\ESCUELA_var01.mov,data\landmarks_hands_only\ESCUELA\ESCUELA_signer_dilse_native_var01.npy,65,True
PROFESOR_signer_dilse_native_var01,PROFESOR,signer_dilse_native,data\raw_videos\signer_dilse_native\PROFESOR\PROFESOR_var01.mov,data\landmarks_hands_only\PROFESOR\PROFESOR_signer_dilse_native_var01.npy,61,True
APRENDER_signer_dilse_native_var01,APRENDER,signer_dilse_native,data\raw_videos\signer_dilse_native\APRENDER\APRENDER_var01.mov,data\landmarks_hands_only\APRENDER\APRENDER_signer_dilse_native_var01.npy,64,True
APRENDER_signer_dilse_native_var02,APRENDER,signer_dilse_native,data\raw_videos\signer_dilse_native\APRENDER\APRENDER_var02.mov,data\landmarks_hands_only\APRENDER\APRENDER_signer_dilse_native_var02.npy,50,True
ESCRIBIR_signer_dilse_native_var01,ESCRIBIR,signer_dilse_native,data\raw_videos\signer_dilse_native\ESCRIBIR\ESCRIBIR_var01.mov,data\landmarks_hands_only\ESCRIBIR\ESCRIBIR_signer_dilse_native_var01.npy,66,True
LEER_signer_dilse_native_var01,LEER,signer_dilse_native,data\raw_videos\signer_dilse_native\LEER\LEER_var01.mov,data\landmarks_hands_only\LEER\LEER_signer_dilse_native_var01.npy,53,True
LEER_signer_dilse_native_var02,LEER,signer_dilse_native,data\raw_videos\signer_dilse_native\LEER\LEER_var02.mov,data\landmarks_hands_only\LEER\LEER_signer_dilse_native_var02.npy,51,True
TELEFONO_signer_dilse_native_var01,TELEFONO,signer_dilse_native,data\raw_videos\signer_dilse_native\TELEFONO\TELEFONO_var01.mov,data\landmarks_hands_only\TELEFONO\TELEFONO_signer_dilse_native_var01.npy,48,True
TELEFONO_signer_dilse_native_var02,TELEFONO,signer_dilse_native,data\raw_videos\signer_dilse_native\TELEFONO\TELEFONO_var02.mov,data\landmarks_hands_only\TELEFONO\TELEFONO_signer_dilse_native_var02.npy,48,True
CIUDAD_signer_dilse_native_var01,CIUDAD,signer_dilse_native,data\raw_videos\signer_dilse_native\CIUDAD\CIUDAD_var01.mov,data\landmarks_hands_only\CIUDAD\CIUDAD_signer_dilse_native_var01.npy,73,True
CIUDAD_signer_dilse_native_var02,CIUDAD,signer_dilse_native,data\raw_videos\signer_dilse_native\CIUDAD\CIUDAD_var02.mov,data\landmarks_hands_only\CIUDAD\CIUDAD_signer_dilse_native_var02.npy,66,True
PERRO_signer_dilse_native_var01,PERRO,signer_dilse_native,data\raw_videos\signer_dilse_native\PERRO\PERRO_var01.mov,data\landmarks_hands_only\PERRO\PERRO_signer_dilse_native_var01.npy,48,True
GATO_signer_dilse_native_var01,GATO,signer_dilse_native,data\raw_videos\signer_dilse_native\GATO\GATO_var01.mov,data\landmarks_hands_only\GATO\GATO_signer_dilse_native_var01.npy,61,True
GATO_signer_dilse_native_var02,GATO,signer_dilse_native,data\raw_videos\signer_dilse_native\GATO\GATO_var02.mov,data\landmarks_hands_only\GATO\GATO_signer_dilse_native_var02.npy,68,True
QUERER_signer_dilse_native_var01,QUERER,signer_dilse_native,data\raw_videos\signer_dilse_native\QUERER\QUERER_var01.mov,data\landmarks_hands_only\QUERER\QUERER_signer_dilse_native_var01.npy,59,True
QUERER_signer_dilse_native_var02,QUERER,signer_dilse_native,data\raw_videos\signer_dilse_native\QUERER\QUERER_var02.mov,data\landmarks_hands_only\QUERER\QUERER_signer_dilse_native_var02.npy,63,True
PODER_signer_dilse_native_var01,PODER,signer_dilse_native,data\raw_videos\signer_dilse_native\PODER\PODER_var01.mov,data\landmarks_hands_only\PODER\PODER_signer_dilse_native_var01.npy,66,True
PODER_signer_dilse_native_var02,PODER,signer_dilse_native,data\raw_videos\signer_dilse_native\PODER\PODER_var02.mov,data\landmarks_hands_only\PODER\PODER_signer_dilse_native_var02.npy,49,True
TENER_signer_dilse_native_var01,TENER,signer_dilse_native,data\raw_videos\signer_dilse_native\TENER\TENER_var01.mov,data\landmarks_hands_only\TENER\TENER_signer_dilse_native_var01.npy,48,True
TENER_signer_dilse_native_var02,TENER,signer_dilse_native,data\raw_videos\signer_dilse_native\TENER\TENER_var02.mov,data\landmarks_hands_only\TENER\TENER_signer_dilse_native_var02.npy,52,True
HACER_signer_dilse_native_var01,HACER,signer_dilse_native,data\raw_videos\signer_dilse_native\HACER\HACER_var01.mov,data\landmarks_hands_only\HACER\HACER_signer_dilse_native_var01.npy,50,True
HACER_signer_dilse_native_var02,HACER,signer_dilse_native,data\raw_videos\signer_dilse_native\HACER\HACER_var02.mov,data\landmarks_hands_only\HACER\HACER_signer_dilse_native_var02.npy,56,True
SABER_signer_dilse_native_var01,SABER,signer_dilse_native,data\raw_videos\signer_dilse_native\SABER\SABER_var01.mov,data\landmarks_hands_only\SABER\SABER_signer_dilse_native_var01.npy,43,True
SABER_signer_dilse_native_var02,SABER,signer_dilse_native,data\raw_videos\signer_dilse_native\SABER\SABER_var02.mov,data\landmarks_hands_only\SABER\SABER_signer_dilse_native_var02.npy,55,True
ENTENDER_signer_dilse_native_var01,ENTENDER,signer_dilse_native,data\raw_videos\signer_dilse_native\ENTENDER\ENTENDER_var01.mov,data\landmarks_hands_only\ENTENDER\ENTENDER_signer_dilse_native_var01.npy,67,True
ENTENDER_signer_dilse_native_var02,ENTENDER,signer_dilse_native,data\raw_videos\signer_dilse_native\ENTENDER\ENTENDER_var02.mov,data\landmarks_hands_only\ENTENDER\ENTENDER_signer_dilse_native_var02.npy,59,True
HOMBRE_signer_dilse_native_var01,HOMBRE,signer_dilse_native,data\raw_videos\signer_dilse_native\HOMBRE\HOMBRE_var01.mov,data\landmarks_hands_only\HOMBRE\HOMBRE_signer_dilse_native_var01.npy,51,True
HOMBRE_signer_dilse_native_var02,HOMBRE,signer_dilse_native,data\raw_videos\signer_dilse_native\HOMBRE\HOMBRE_var02.mov,data\landmarks_hands_only\HOMBRE\HOMBRE_signer_dilse_native_var02.npy,55,True
MUJER_signer_dilse_native_var01,MUJER,signer_dilse_native,data\raw_videos\signer_dilse_native\MUJER\MUJER_var01.mov,data\landmarks_hands_only\MUJER\MUJER_signer_dilse_native_var01.npy,65,True
MUJER_signer_dilse_native_var02,MUJER,signer_dilse_native,data\raw_videos\signer_dilse_native\MUJER\MUJER_var02.mov,data\landmarks_hands_only\MUJER\MUJER_signer_dilse_native_var02.npy,61,True
NINO_signer_dilse_native_var01,NINO,signer_dilse_native,data\raw_videos\signer_dilse_native\NINO\NINO_var01.mov,data\landmarks_hands_only\NINO\NINO_signer_dilse_native_var01.npy,49,True
NINO_signer_dilse_native_var02,NINO,signer_dilse_native,data\raw_videos\signer_dilse_native\NINO\NINO_var02.mov,data\landmarks_hands_only\NINO\NINO_signer_dilse_native_var02.npy,73,True
MEDICO_signer_dilse_native_var01,MEDICO,signer_dilse_native,data\raw_videos\signer_dilse_native\MEDICO\MEDICO_var01.mov,data\landmarks_hands_only\MEDICO\MEDICO_signer_dilse_native_var01.npy,58,True
MEDICO_signer_dilse_native_var02,MEDICO,signer_dilse_native,data\raw_videos\signer_dilse_native\MEDICO\MEDICO_var02.mov,data\landmarks_hands_only\MEDICO\MEDICO_signer_dilse_native_var02.npy,64,True
HOSPITAL_signer_dilse_native_var01,HOSPITAL,signer_dilse_native,data\raw_videos\signer_dilse_native\HOSPITAL\HOSPITAL_var01.mov,data\landmarks_hands_only\HOSPITAL\HOSPITAL_signer_dilse_native_var01.npy,60,True
SI_signer_dilse_native_var01,SI,signer_dilse_native,data\raw_videos\signer_dilse_native\SI\SI_var01.mov,data\landmarks_hands_only\SI\SI_signer_dilse_native_var01.npy,41,True
SI_signer_dilse_native_var02,SI,signer_dilse_native,data\raw_videos\signer_dilse_native\SI\SI_var02.mov,data\landmarks_hands_only\SI\SI_signer_dilse_native_var02.npy,56,True
NO_signer_dilse_native_var01,NO,signer_dilse_native,data\raw_videos\signer_dilse_native\NO\NO_var01.mov,data\landmarks_hands_only\NO\NO_signer_dilse_native_var01.npy,39,True
NO_signer_dilse_native_var02,NO,signer_dilse_native,data\raw_videos\signer_dilse_native\NO\NO_var02.mov,data\landmarks_hands_only\NO\NO_signer_dilse_native_var02.npy,40,True
YO_signer_dilse_native_var01,YO,signer_dilse_native,data\raw_videos\signer_dilse_native\YO\YO_var01.mov,data\landmarks_hands_only\YO\YO_signer_dilse_native_var01.npy,54,True
TU_signer_dilse_native_var01,TU,signer_dilse_native,data\raw_videos\signer_dilse_native\TU\TU_var01.mov,data\landmarks_hands_only\TU\TU_signer_dilse_native_var01.npy,57,True
TU_signer_dilse_native_var02,TU,signer_dilse_native,data\raw_videos\signer_dilse_native\TU\TU_var02.mov,data\landmarks_hands_only\TU\TU_signer_dilse_native_var02.npy,45,True
