word,video_file,landmarks_file,landmarks_hands_only_file,num_frames,avg_landmarks,valid_frame_ratio,signer_id,avg_hands_detected,both_hands_ratio,one_hand_ratio,no_hand_ratio,quality_score,status
HOLA,data/raw_videos/HOLA/HOLA_rep_0_121603.mp4,data/landmarks/HOLA/HOLA_rep_0_121603.npy,data/landmarks_hands_only/HOLA/HOLA_rep_0_121603.npy,60,53.65,0.9833333333333332,0,0.9833333333333332,0.0,0.9833333333333332,0.0166666666666666,0.9925925925925926,ACCEPT
SI,data/raw_videos/SI/SI_rep_0_154129.mp4,data/landmarks/SI/SI_rep_0_154129.npy,data/landmarks_hands_only/SI/SI_rep_0_154129.npy,60,50.85,0.85,0,0.85,0.0,0.85,0.15,0.9333333333333332,ACCEPT
AYUDA,data/raw_videos/AYUDA/AYUDA_rep_0_120455.mp4,data/landmarks/AYUDA/AYUDA_rep_0_120455.npy,data/landmarks_hands_only/AYUDA/AYUDA_rep_0_120455.npy,60,74.3,1.0,0,1.9666666666666663,0.9666666666666668,0.0333333333333333,0.0,0.9911666666666666,ACCEPT
HOLA,data/raw_videos/HOLA/HOLA_rep_3_121811.mp4,data/landmarks/HOLA/HOLA_rep_3_121811.npy,data/landmarks_hands_only/HOLA/HOLA_rep_3_121811.npy,60,54.0,1.0,0,1.0,0.0,1.0,0.0,1.0,ACCEPT
HOLA,data/raw_videos/HOLA/HOLA_rep_2_110202.mp4,data/landmarks/HOLA/HOLA_rep_2_110202.npy,data/landmarks_hands_only/HOLA/HOLA_rep_2_110202.npy,60,53.65,0.9833333333333332,0,0.9833333333333332,0.0,0.9833333333333332,0.0166666666666666,0.9925925925925926,ACCEPT
NO,data/raw_videos/NO/NO_rep_2_154620.mp4,data/landmarks/NO/NO_rep_2_154620.npy,data/landmarks_hands_only/NO/NO_rep_2_154620.npy,60,52.95,0.9166666666666666,0,0.95,0.0333333333333333,0.8833333333333333,0.0833333333333333,0.9694444444444446,ACCEPT
TU,data/raw_videos/TU/TU_rep_2_111729.mp4,data/landmarks/TU/TU_rep_2_111729.npy,data/landmarks_hands_only/TU/TU_rep_2_111729.npy,60,54.0,1.0,0,1.0,0.0,1.0,0.0,1.0,ACCEPT
NO,data/raw_videos/NO/NO_rep_3_110400.mp4,data/landmarks/NO/NO_rep_3_110400.npy,data/landmarks_hands_only/NO/NO_rep_3_110400.npy,60,54.0,1.0,0,1.0,0.0,1.0,0.0,1.0,ACCEPT
BANIO,data/raw_videos/BANIO/BANIO_rep_1_105137.mp4,data/landmarks/BANIO/BANIO_rep_1_105137.npy,data/landmarks_hands_only/BANIO/BANIO_rep_1_105137.npy,60,54.0,1.0,0,1.0,0.0,1.0,0.0,1.0,ACCEPT
COMER,data/raw_videos/COMER/COMER_rep_2_105626.mp4,data/landmarks/COMER/COMER_rep_2_105626.npy,data/landmarks_hands_only/COMER/COMER_rep_2_105626.npy,60,53.65,0.9833333333333332,0,0.9833333333333332,0.0,0.9833333333333332,0.0166666666666666,0.9925925925925926,ACCEPT
HOLA,data/raw_videos/HOLA/HOLA_rep_0_110034.mp4,data/landmarks/HOLA/HOLA_rep_0_110034.npy,data/landmarks_hands_only/HOLA/HOLA_rep_0_110034.npy,60,52.95,0.95,0,0.95,0.0,0.95,0.05,0.977777777777778,ACCEPT
GRACIAS,data/raw_videos/GRACIAS/GRACIAS_rep_1_113645.mp4,data/landmarks/GRACIAS/GRACIAS_rep_1_113645.npy,data/landmarks_hands_only/GRACIAS/GRACIAS_rep_1_113645.npy,60,73.25,0.9666666666666668,0,1.9166666666666667,0.95,0.0166666666666666,0.0333333333333333,0.9779166666666668,ACCEPT
COMER,data/raw_videos/COMER/COMER_rep_3_105829.mp4,data/landmarks/COMER/COMER_rep_3_105829.npy,data/landmarks_hands_only/COMER/COMER_rep_3_105829.npy,60,52.25,0.9166666666666666,0,0.9166666666666666,0.0,0.9166666666666666,0.0833333333333333,0.962962962962963,ACCEPT
POR_FAVOR,data/raw_videos/POR_FAVOR/POR_FAVOR_rep_1_112900.mp4,data/landmarks/POR_FAVOR/POR_FAVOR_rep_1_112900.npy,data/landmarks_hands_only/POR_FAVOR/POR_FAVOR_rep_1_112900.npy,60,53.65,0.9833333333333332,0,0.9833333333333332,0.0,0.9833333333333332,0.0166666666666666,0.9925925925925926,ACCEPT
AYUDA,data/raw_videos/AYUDA/AYUDA_rep_0_143315.mp4,data/landmarks/AYUDA/AYUDA_rep_0_143315.npy,data/landmarks_hands_only/AYUDA/AYUDA_rep_0_143315.npy,60,74.65,1.0,0,1.9833333333333336,0.9833333333333332,0.0166666666666666,0.0,0.9955833333333334,ACCEPT
COMER,data/raw_videos/COMER/COMER_rep_3_115714.mp4,data/landmarks/COMER/COMER_rep_3_115714.npy,data/landmarks_hands_only/COMER/COMER_rep_3_115714.npy,60,54.0,1.0,0,1.0,0.0,1.0,0.0,1.0,ACCEPT
POR_FAVOR,data/raw_videos/POR_FAVOR/POR_FAVOR_rep_1_124258.mp4,data/landmarks/POR_FAVOR/POR_FAVOR_rep_1_124258.npy,data/landmarks_hands_only/POR_FAVOR/POR_FAVOR_rep_1_124258.npy,60,54.0,1.0,0,1.0,0.0,1.0,0.0,1.0,ACCEPT
