word,video_file,landmarks_file,landmarks_hands_only_file,num_frames,avg_landmarks,valid_frame_ratio,signer_id,avg_hands_detected,both_hands_ratio,one_hand_ratio,no_hand_ratio,quality_score,status,is_augmented,augmentation_type
POR_FAVOR,data/raw_videos/POR_FAVOR/POR_FAVOR_rep_2_120822.mp4,data/landmarks/POR_FAVOR/POR_FAVOR_rep_2_120822.npy,data/landmarks_hands_only/POR_FAVOR/POR_FAVOR_rep_2_120822.npy,60,51.55,0.8833333333333333,0,0.8833333333333333,0.0,0.8833333333333333,0.1166666666666666,0.948148148148148,ACCEPT,False,original
POR_FAVOR,data/raw_videos/POR_FAVOR/POR_FAVOR_rep_1_124439.mp4,data/landmarks/POR_FAVOR/POR_FAVOR_rep_1_124439.npy,data/landmarks_hands_only/POR_FAVOR/POR_FAVOR_rep_1_124439.npy,60,54.0,1.0,0,1.0,0.0,1.0,0.0,1.0,ACCEPT,False,original
BANIO,data/raw_videos/BANIO/BANIO_rep_3_105042.mp4,data/landmarks/BANIO/BANIO_rep_3_105042.npy,data/landmarks_hands_only/BANIO/BANIO_rep_3_105042.npy,60,53.65,0.9833333333333332,0,0.9833333333333332,0.0,0.9833333333333332,0.0166666666666666,0.9925925925925926,ACCEPT,False,original
YO,data/raw_videos/YO/YO_rep_0_112100.mp4,data/landmarks/YO/YO_rep_0_112100.npy,data/landmarks_hands_only/YO/YO_rep_0_112100.npy,60,54.0,1.0,0,1.0,0.0,1.0,0.0,1.0,ACCEPT,False,original
HOLA,data/raw_videos/HOLA/HOLA_rep_0_110150.mp4,data/landmarks/HOLA/HOLA_rep_0_110150.npy,data/landmarks_hands_only/HOLA/HOLA_rep_0_110150.npy,60,54.0,1.0,0,1.0,0.0,1.0,0.0,1.0,ACCEPT,False,original
BANIO,data/raw_videos/BANIO/BANIO_rep_2_105325.mp4,data/landmarks/BANIO/BANIO_rep_2_105325_aug_0.npy,data/landmarks_hands_only/BANIO/BANIO_rep_2_105325_aug_0.npy,60,53.65,0.9833333333333332,0,0.9833333333333332,0.0,0.9833333333333332,0.0166666666666666,0.9925925925925926,ACCEPT,True,temporal_warp+spatial_scale+gaussian_noise
TU,data/raw_videos/TU/TU_rep_2_111729.mp4,data/landmarks/TU/TU_rep_2_111729.npy,data/landmarks_hands_only/TU/TU_rep_2_111729.npy,60,54.0,1.0,0,1.0,0.0,1.0,0.0,1.0,ACCEPT,False,original
GRACIAS,data/raw_videos/GRACIAS/GRACIAS_rep_1_121023.mp4,data/landmarks/GRACIAS/GRACIAS_rep_1_121023_aug_0.npy,data/landmarks_hands_only/GRACIAS/GRACIAS_rep_1_121023_aug_0.npy,60,72.9,0.9833333333333332,0,1.9,0.9166666666666666,0.0666666666666666,0.0166666666666666,0.9735,ACCEPT,True,temporal_warp+spatial_scale+gaussian_noise
BANIO,data/raw_videos/BANIO/BANIO_rep_1_105411.mp4,data/landmarks/BANIO/BANIO_rep_1_105411.npy,data/landmarks_hands_only/BANIO/BANIO_rep_1_105411.npy,60,53.3,0.9666666666666668,0,0.9666666666666668,0.0,0.9666666666666668,0.0333333333333333,0.9851851851851852,ACCEPT,False,original
POR_FAVOR,data/raw_videos/POR_FAVOR/POR_FAVOR_rep_3_112557.mp4,data/landmarks/POR_FAVOR/POR_FAVOR_rep_3_112557.npy,data/landmarks_hands_only/POR_FAVOR/POR_FAVOR_rep_3_112557.npy,60,53.3,0.9666666666666668,0,0.9666666666666668,0.0,0.9666666666666668,0.0333333333333333,0.9851851851851852,ACCEPT,False,original
